gene,rna_baseMean,rna_log2FC,rna_padj
Ankrd34c,37.84915851,-0.111541069,0.768150812
Morf4l1,4514.692638,-0.58945999,1.22E-05
Adamts7,9.115823552,0.50819183,3.05E-01
Plscr5,7.455114696,0.569964394,2.61E-01
Chst2,1586.128267,1.678169011,3.69E-28
Paqr9,108.107034,-1.334042794,2.02E-06
LOC501038,144.7825231,-1.387927044,9.46E-10
PCOLCE2,12.08778876,-0.24123283,0.62735968
Copb2,3300.07223,-0.595473573,2.77E-06
Mrps22,786.6144597,-0.53375826,1.62E-04
Cep70,339.318436,-0.08948934,0.652449931
Mras,1518.090356,0.583350163,6.63E-06
Dzip1l,238.3137062,-0.106919049,6.03E-01
Il20rb,3.005655021,0.840100172,7.04E-02
Slc35g2,465.5259468,0.140362211,4.60E-01
Rab6b,2102.787304,-0.141755213,0.335145494
Srprb,680.9088978,-0.361988636,1.38E-02
RGD1310507,22.35073907,-0.036453115,9.36E-01
Mrpl3,1269.813318,-0.126976827,0.385852438
Nudt16,61.70154296,0.014795651,0.966064631
LOC102552166,37.7059187,-0.311769634,3.84E-01
Pik3r4,1230.630211,-0.623140737,1.64E-06
Glyctk,79.22104836,0.136199285,6.47E-01
Wdr82,1377.693571,-0.522636499,5.71E-05
Poc1a,18.03837642,-2.47E-04,0.999731169
Dusp7,285.6408074,-0.052209475,8.06E-01
Pcbp4,1053.724256,1.177089802,1.90E-11
Rrp9,216.7276358,-0.649989132,1.26E-03
Grm2,60.02978916,-0.713996323,2.99E-02
Tex264,501.840462,0.017881396,0.931829576
Rbm15b,598.186887,0.071557708,0.700385044
Manf,876.6744754,-0.531628683,1.24E-04
Cish,2.335488768,0.565083712,2.11E-01
Hemk1,133.0984774,0.023208785,9.33E-01
RGD1307461,6.469373646,0.144104481,0.789516376
Tmem115,296.4752406,-0.15651923,0.446004187
Cyb561d2,148.8261016,-0.325511549,2.17E-01
Nprl2,433.4979688,-0.440818666,0.008215996
Tusc2,221.9200245,0.155601707,4.95E-01
Hyal3,132.1862743,0.268638179,0.258129921
Gnai2,2541.674441,1.090132852,7.16E-17
Rbm6,2056.998873,-0.514137757,1.30E-04
Mon1a,270.6652507,0.064846576,0.77538678
Mst1r,163.3887175,-1.499337533,1.93E-11
Camkv,8557.964903,-0.389665053,0.001550471
Traip,112.3413693,-1.895969111,3.67E-13
Gmppb,133.6766544,-0.657201296,0.005652253
Rnf123,1258.172044,0.036014049,8.36E-01
Amigo3,19.4008984,-0.02901728,9.51E-01
Nicn1,361.4278576,-0.27692179,1.23E-01
Usp4,3088.404505,-0.556735762,3.16E-06
LOC498675,18.94379691,-0.799340119,6.44E-02
Ccdc71,287.5177436,-0.514776281,4.73E-03
Usp19,1486.563122,-0.166473343,2.50E-01
Ndufaf3,314.1043933,-0.501636849,0.006371887
Dalrd3,273.1490884,0.092620122,0.646605623
Wdr6,1163.115421,0.147552516,0.394135855
P4htm,944.656138,-1.153784687,1.20E-12
Ip6k2,1883.959882,-1.486952922,1.35E-30
Nckipsd,598.1904892,-0.652469851,2.72E-05
Celsr3,514.3924221,-0.472827657,4.89E-03
Slc26a6,81.6686601,0.505517369,0.068805613
Uqcrc1,2640.853833,-0.169365772,0.22891845
Pfkfb4,25.70649337,0.166727902,6.89E-01
Atrip,57.99426006,-0.377232011,0.22223544
Ccdc51,244.5639664,-0.030930337,0.891745906
Tma7,622.3134431,-0.353640315,1.90E-02
Spink8,1.872084857,0.040845439,0.934622507
Camp,2.944479854,0.129752857,8.06E-01
Dhx30,2065.490933,-0.19322717,1.53E-01
Elp6,118.7042361,-0.18712417,0.475661608
Ptpn23,398.525194,-0.025217719,0.902146243
Myl3,2.449945681,-0.310493452,0.518550418
LOC100360828,14.4256252,-0.259427486,5.76E-01
Prss50,6.929500343,0.592203627,2.44E-01
Mlh1,308.6086521,-0.150157697,4.50E-01
Epm2aip1,2890.107474,-0.510056547,7.84E-05
Dclk3,134.8689064,-1.517169707,3.00E-11
Ubp1,950.4460259,-0.032967311,0.845727182
Dync1li1,1545.437609,-0.983472329,2.90E-14
Gpd1l,597.7672483,-0.460362673,0.0027003
LOC102556057,3.951955012,0.740121469,1.36E-01
Azi2,1020.862991,-0.569831561,3.39E-05
LOC102557427,39.17925906,1.167074486,1.10E-03
LOC680933,53.19187461,-1.32209156,3.59E-05
LOC100911408,18.60640058,-1.336074888,0.004406716
Acaa1b,19.07014683,0.363948401,0.403400667
Acaa1,178.0173161,0.799666688,1.66E-04
Exog,190.6087369,-0.834897874,3.77E-05
Scn11a,1.932496053,0.348333227,0.4488112
Gorasp1,171.3255222,-0.151126083,0.511382079
Csrnp1,76.13099343,-0.662048249,0.019686423
Xirp1,4.258918424,1.07684377,3.07E-02
Slc25a38,220.3309242,0.235520579,0.25549344
Eif1b,995.629587,-0.834393113,3.67E-10
Entpd3,75.53419987,-0.586361707,0.044501881
Ctnnb1,6857.6879,0.1570738,2.36E-01
Cck,1266.46248,-0.429326168,2.27E-02
Lyzl4,568.2046662,-2.026205245,7.07E-31
Sec22c,124.19102,0.337511532,0.173159848
Ss18l2,363.6025242,-0.077374772,0.680872233
Zbtb47,627.5622829,0.735780704,3.00E-05
Ccdc13,42.19738252,0.017461106,0.965777514
Higd1a,1072.927608,-0.22786624,1.04E-01
Ackr2,104.083122,-1.718383427,5.87E-10
Pomgnt2,255.9626755,-0.778030966,9.56E-05
Snrk,1304.088368,0.29933186,0.044032373
Ano10,730.1508058,0.180450021,0.264276442
Topaz1,4.791726762,-0.302866744,0.559745901
Zfp167,123.6315889,0.006609047,9.83E-01
LOC367195,19.58704462,-0.372848915,0.382512696
Tmem42,188.338779,-0.28793787,0.169896405
Exosc7,246.6999195,-0.735468244,1.66E-04
Tmem158,16.55724619,-1.040517639,0.042947099
LOC691414,412.4312255,-1.153801615,3.22E-13
Cul9,826.7599963,0.155045916,0.366266682
Nck2,421.4710552,-1.105761461,1.15E-09
Dner,1644.700644,0.182134823,0.222074821
Epb41l3,2813.302953,-1.307459197,4.38E-23
Safb2,311.7398656,-0.606517614,5.88E-04
Trerf1,297.9206923,-0.657200991,1.69E-04
Tdrd6,2.421013956,0.052893885,0.920652151
Pkhd1,30.31065739,0.525532812,0.159282177
Adgrb3,10590.94085,-0.688922055,3.30E-08
Khdrbs2,157.9071113,-0.182586736,4.23E-01
Fer1l5,2.330777071,0.098766549,8.44E-01
Mgat4a,395.0393229,-0.690201575,2.13E-05
Aff3,1457.736943,0.194552771,1.59E-01
Hibch,682.5450347,0.450893435,0.004446568
Tmeff2,1071.749881,-0.213496103,1.87E-01
Hecw2,1351.479024,-0.467672459,3.32E-04
Adam23,4987.978133,-1.442633348,1.72E-35
Map2,91891.7428,0.457886352,1.62E-04
Abca12,65.41417417,-1.702469081,1.97E-08
Usp37,1555.376314,-0.600774918,4.82E-05
Cnot9,460.1972003,-0.543587971,5.01E-04
NEWGENE_1305560,563.5105438,-0.577645932,2.28E-04
Sphkap,6556.304286,-1.456082835,1.54E-30
Trpm8,4.018903337,0.530477875,0.290424679
Per2,448.5679457,-0.792928446,1.27E-06
Ppp1r7,2840.97516,-0.44719467,1.68E-03
Tmem232,2.636691286,-0.080852925,0.879116318
Dlgap1,5562.544751,-0.43540794,2.30E-04
Lpin2,2124.651429,-0.848802835,2.46E-12
Plcl2,4809.371044,-0.67080001,3.86E-07
Satb1,801.2419469,0.580137632,1.13E-04
LOC100911278,5.204195753,0.383832742,4.56E-01
LOC108351878,53.30362365,-0.928482227,0.003822469
Tubb4a,4347.459391,0.306810396,0.039874591
Acer1,2.939837318,-0.566847434,0.233849061
Ranbp3,611.5650869,-0.171616302,3.60E-01
Ptprs,8950.102606,-0.701954784,2.98E-07
Dpp9,979.8339533,-0.712627325,3.85E-06
Chaf1a,200.2260993,-0.153259317,4.72E-01
Lrfn2,354.882489,-1.343612545,5.43E-15
Foxp4,142.0870531,-0.224598309,3.46E-01
Rpl7l1,822.5570164,-0.181492551,0.230713787
Mrpl2,225.9763863,-0.324706988,0.096366754
Mrpl14,183.7405558,-0.180506413,4.30E-01
Supt3h,218.4547368,0.346019726,0.079980232
Runx2,25.35608084,0.439361976,2.71E-01
Mep1a,4.840729207,0.715245455,1.60E-01
Tnfrsf21,1404.595677,-0.641772396,5.46E-06
Mut,5574.524649,0.743992532,1.61E-08
RGD1566137,5.766801596,-0.038641797,0.944540922
Kcnq5,1107.667825,-0.753894285,7.18E-09
Smap1,977.4156376,-0.595419982,3.05E-05
Zfp451,1439.219409,-0.532708069,1.21E-04
Arhgef4,2085.551963,1.276743237,2.14E-18
Ankrd39,6.82960592,0.402072815,0.434045749
Inpp4a,2497.654301,0.270885823,0.036237755
RGD1310819,5542.653099,-1.03839973,2.99E-16
Tsga10,598.605749,-0.598657032,5.71E-05
Eif5b,1009.116537,-0.660617089,7.04E-06
Lonrf2,2347.612895,-0.27904693,2.66E-02
Npas2,1006.677085,0.319950072,0.030703986
Creg2,137.6179056,-1.027602464,1.07E-04
Slc9a2,1567.711333,-1.23474481,3.88E-19
Mrps9,657.9350222,-0.773562741,7.19E-07
Fhl2,384.9251442,-1.859421415,3.63E-21
Tpp2,2584.603948,-1.110826566,1.38E-17
Wdr75,1162.330609,-0.641137961,2.62E-06
Ankar,10.31271381,0.72586338,0.145184383
Osgepl1,471.9720167,-0.574359927,3.36E-04
Gls,6092.538028,-0.982485462,3.78E-15
Nabp1,114.3209099,-1.254336059,1.72E-07
Slc39a10,2739.23175,-0.697918988,1.12E-08
Sf3b1,8567.257804,-0.46779656,2.48E-04
Mob4,1919.94974,-0.938358592,8.87E-10
Satb2,405.0504104,-1.531422006,2.10E-21
Tyw5,200.6674735,-0.075215185,0.757494645
Spats2l,637.4179997,-0.821646799,1.65E-08
Mpp4,6.253323022,-0.562279472,0.26865353
Sumo1,1607.575958,-0.802461394,1.05E-07
Bmpr2,7033.609873,-0.471103092,1.81E-04
Ica1l,347.2491244,-0.446492394,0.007763864
Abi2,9590.601606,-0.84547043,7.64E-11
Plekhm3,557.0623492,-0.143106638,0.382446962
Pikfyve,6318.329672,-0.160297521,2.40E-01
Pth2r,12.0047226,2.099413291,1.01E-04
Unc80,9669.002125,0.043194723,0.756537813
Cps1,145.5190783,0.286587488,2.21E-01
Vwc2l,13.30088181,-0.432194666,0.35901764
March4,259.2499637,-0.557541936,0.002091329
Arpc2,10924.54659,-1.146211783,3.73E-21
Dnajb2,713.0141635,0.128842766,0.434141897
Speg,1211.493965,0.265144093,1.13E-01
Epha4,8237.714035,-1.843758499,6.37E-39
Sgpp2,97.48755136,-1.492718519,6.07E-09
Cul3,7881.385707,-0.509358283,3.65E-04
Itm2c,5218.322246,-0.754343827,3.54E-09
Armc9,1009.958819,-0.763650255,1.11E-08
Pde6d,437.0880996,-0.467339093,0.003431781
Dis3l2,936.5532613,-0.064552864,0.701832944
Ecel1,14.75300803,-0.062992777,0.898921946
Gigyf2,4405.67984,0.720035791,6.49E-08
Atg16l1,912.057143,-1.174550051,6.70E-18
Dgkd,2591.544723,0.040423329,0.78204394
Agap1,1119.502456,1.265379193,3.59E-18
Cops8,920.6924738,-0.806065017,8.54E-09
Lrrfip1,950.998233,-1.03014967,9.12E-15
Hdac4,640.6654908,0.50172629,0.001486868
Gpc1,837.2540771,-0.183448149,0.366526984
St8sia4,184.9582512,0.391467766,0.07814681
Fbxl17,1292.1988,0.150952652,0.303187914
Fer,2145.638754,0.701807251,1.60E-07
Ankrd12,4710.784696,-0.798575658,3.07E-09
Mtcl1,306.2805096,-0.213742186,0.275470471
Rab12,721.8462839,-0.723928774,7.05E-07
LOC103690158,3.077581144,0.266471442,0.601129095
Akain1,3.419140458,-0.154866743,0.766328957
Myom1,26.31120211,0.87591463,0.025152655
St6gal2,548.0177051,-0.429935665,0.007401614
Vom2r76,10.70798607,-0.220454439,0.664935264
Vom2r77,4.674959313,0.531073126,0.296729701
LOC100360856,187.6351325,-1.278720835,6.47E-10
LOC689679,2.266415563,-0.118370147,0.811131139
MGC116197,36.94473877,-0.990350698,0.005775241
LOC100909645,4.903184172,-0.347728409,0.498258551
Khsrp,622.5826177,-0.023066231,0.89929295
Ak5,2.089676144,0.046773508,0.928896904
Gtf2f1,950.6151631,-0.250309669,0.098875096
Pspn,4.975653401,-0.271556468,0.602816462
Alkbh7,166.3745614,-0.199407465,0.400618792
Clpp,196.5713153,-0.253825251,2.97E-01
Mllt1,462.3922763,0.768668758,2.04E-05
Prr22,1.99395839,0.398837577,0.359419586
Dus3l,187.2094378,-0.095646199,7.20E-01
Ndufa11,822.9914596,-0.026546148,0.897397012
Lonp1,1204.08352,0.153702201,0.306597275
Rpl36,139.0017309,0.931483705,0.001022081
LOC301124,1371.435691,-0.041209799,8.04E-01
Safb,688.3510989,-0.648944694,1.32E-05
Kdm4b,703.2620534,-0.008725784,0.965589825
LOC100362987,5.45970272,0.337023587,5.14E-01
Fem1a,402.8111019,-0.189249901,0.315107499
Mydgf,323.1659684,-0.204233995,2.61E-01
Sema6b,1172.875968,-0.763501026,3.73E-07
Hdgfrp2,861.7573089,-0.570697368,3.71E-05
Ubxn6,689.5176479,-0.313854164,0.034991956
Mpnd,410.3474832,0.615855691,2.65E-04
Fsd1,187.4572954,-0.203410881,3.56E-01
Uxs1,1705.728055,-0.055232971,7.48E-01
LOC685668,146.7602224,-1.097577266,6.36E-07
LOC360998,1319.085672,-1.16427095,7.54E-20
LOC108351885,276.3109452,-1.325993146,8.04E-13
LOC108348336,19.74711142,-1.579593965,6.81E-04
Dazl,2.149243059,-0.428688294,0.346672464
Pgc,2.382275871,-0.340138484,0.471877968
Frs3,104.0778445,0.035138343,0.909414132
Prickle4,59.70329562,-0.197135866,0.536876879
Tomm6,484.9030931,-0.486023909,1.93E-03
Med20,162.1554257,-0.156268087,5.18E-01
Bysl,197.8311693,-0.328671394,1.26E-01
Mrps10,372.3314921,-1.099907504,1.89E-11
Tbcc,201.4306128,-0.752806839,1.12E-04
Gltscr1l,583.0757944,0.049636855,7.83E-01
Pex6,224.3703726,-0.010948765,0.965589825
Ppp2r5d,865.1491336,-0.497956113,2.77E-04
Mea1,561.3642851,-0.064342825,7.30E-01
Klhdc3,2130.184089,-0.553518086,9.96E-06
LOC680835,208.314385,1.00977703,6.35E-07
Klc4,160.8534056,0.61482653,0.004874282
Srf,435.5365926,0.427386472,0.02129768
Dnph1,39.0499976,0.070003184,0.855476396
Zfp318,1960.864554,-0.3566564,0.006170212
Abcc10,108.6820701,-0.236758405,0.367376812
Dlk2,72.79584375,-0.950296909,0.002811204
Lrrc73,351.025207,-0.123848488,0.520925812
Yipf3,589.4625142,0.056392739,0.78106429
Polr1c,392.510698,-0.288527857,0.09114731
Gtpbp2,242.9200471,-0.617949071,0.001142268
Mad2l1bp,68.68165667,-0.288897618,0.321317037
Rsph9,144.1773955,-0.86685222,1.00E-04
Mrps18a,620.2624736,-0.372859334,0.017514101
Tmem63b,1884.404156,-0.64549104,1.19E-06
Hsp90ab1,35863.82085,-0.814686776,1.91E-13
Tmem151b,401.0626176,1.047987101,4.34E-09
Tcte1,4.401234209,-0.325247067,0.525169312
Aars2,112.6795562,0.002294635,9.94E-01
Spats1,4.131523693,0.052325621,9.26E-01
Enpp5,6887.503413,-0.886236824,1.70E-13
Cenpq,56.57138273,0.152188195,0.662915694
LOC688459,16.27331823,-1.619344827,0.001235745
Crisp2,7.585444863,1.001824061,5.19E-02
Crisp1,7.788844172,-1.463395583,0.006025
LOC103693210,80.50870822,-1.182642245,2.20E-05
Sdhaf4,281.5400965,-0.401602907,0.024816848
Bend6,2203.447785,-0.241296371,0.064613657
Bag2,189.6527687,-0.763226217,1.10E-04
Amer3,539.2996927,-1.307549713,3.37E-14
Fam168b,663.3919709,-0.343053974,0.027518587
Plekhb2,1437.608036,0.0264336,0.876279046
Hs6st1,115.6607505,-0.428689426,0.104704305
Kansl3,1025.437454,0.650877753,3.08E-06
Lman2l,21.33267049,0.066506005,0.884257766
Cnnm4,150.7609913,-0.459310608,0.038533543
Sema4c,136.79955,0.083504912,0.757144001
Fam178b,2.17765088,0.549391509,1.95E-01
Cox5b,2774.58838,-0.188155905,1.52E-01
Actr1b,1885.644882,-0.38269498,0.00328397
Zap70,52.75663635,-0.454482926,0.147680995
Unc50,760.9571353,-0.59380817,4.21E-05
Lipt1,52.83101153,-0.269026011,4.08E-01
Txndc9,1662.40862,-0.731287441,1.33E-07
Rev1,1113.514132,-0.396861243,0.003544901
Chst10,971.7776543,0.090851745,5.69E-01
Pdcl3,328.0753937,0.227235228,0.206635017
Cnot11,360.2678472,-0.847723842,5.36E-07
Mfsd9,111.1473033,-0.2937223,0.246973294
Pou3f3,124.8057043,0.849205445,0.002457817
Gpr45,46.20947237,-0.606405583,6.39E-02
RGD1310553,331.9453052,0.486300075,0.005216101
Bivm,1384.439368,-0.05663334,0.747918548
Ercc5,773.7365702,-0.147221649,0.347144539
Mettl21cl1,2.87803191,0.45609918,0.341257026
Asnsd1,1800.063599,-0.638704319,2.30E-06
Mstn,7.182105529,-0.152371365,0.774817893
LOC685203,94.55366177,-0.05668346,0.847814825
Inpp1,390.7957997,-0.533892246,0.001513971
Mfsd6,1307.107064,-0.716871078,5.73E-08
Nemp2,48.1397469,0.035408717,9.24E-01
RGD1561618,3.606572768,0.147297359,0.776974766
Gtf3c3,700.6761021,-0.500260242,7.00E-04
Coq10b,500.6638483,-0.16162605,0.363250517
Hspd1,4363.546631,-0.417177812,0.002499064
Hspe1,1001.184083,-0.25679911,0.064799725
RGD1306941,879.7020219,-0.734772271,2.40E-06
MGC94335,479.3286074,-0.32134007,5.53E-02
Bzw1,5061.467282,-0.380497101,0.004291988
Orc2,1064.128801,-0.310808965,0.052962127
Fam126b,2540.505773,-0.963558488,1.15E-14
Ndufb3,1083.176232,-0.33933359,1.31E-02
Stradb,808.0462677,-0.513662448,2.43E-04
Tmem237,659.344529,-0.5728278,6.61E-05
Als2,2170.241086,-0.437390008,4.35E-04
Nop58,1284.754325,-0.660532012,5.59E-06
Fam117b,770.0681894,-0.805621954,4.77E-09
Wdr12,954.315201,-0.797283548,2.04E-08
Carf,802.636561,-0.576027859,1.06E-04
Raph1,783.0719132,-0.549637697,8.02E-05
LOC100360841,4.986231896,0.393597452,0.444524524
LOC102548694,99.32540434,0.594796923,1.92E-02
Ndufs1,6540.025328,-0.368087063,0.003595287
Zdbf2,2039.284706,-0.874637432,1.72E-11
Mdh1b,86.98764724,-0.816764668,0.002533671
Fastkd2,524.1370019,-0.841176089,3.92E-07
Mettl21a,95.44932548,-1.042922931,6.99E-05
Crygd,8.137133981,1.18323012,0.023201434
Cryga,195.5000549,-1.021683028,5.53E-07
Idh1,1391.250959,0.866062955,4.94E-09
Lancl1,3331.012209,-1.207535508,2.71E-21
Pecr,379.5333363,0.25555198,0.130380043
Tmem169,155.7210093,-1.0646962,4.62E-07
Cxcr1,124.307305,-2.170604684,2.23E-17
Aamp,1917.47099,-0.261196395,0.094409124
Pnkd,965.1936579,-0.400255612,0.012134379
Zfp142,812.6014813,0.135070557,0.391082641
Bcs1l,238.3310256,-0.550698559,3.05E-03
Rnf25,455.8981082,-0.536881661,7.32E-04
Cyp27a1,12.94144935,1.23047035,0.011499792
Wnt10a,8.219796888,-0.503534251,0.323722745
Cdk5r2,136.4673098,0.068865846,0.826737451
Fam134a,3721.649486,-0.415368786,0.001591563
Zfand2b,231.8713686,-0.877327506,8.97E-06
Abcb6,588.8136361,-0.522045111,5.33E-04
Atg9a,1619.818792,-0.384033707,0.003682227
Stk16,647.7672221,0.012588233,9.43E-01
Tuba4a,6669.693282,-1.040555528,1.19E-15
Ptprn,4455.828947,-0.502355167,9.44E-04
Resp18,806.3496448,-0.590204275,1.99E-05
Des,8.189259112,1.028018889,0.047159986
Gmppa,238.9752929,0.107616429,0.633069276
Asic4,56.78190658,2.310914472,1.65E-11
Chpf,847.0818639,-0.264538366,0.138287602
Tmem198,413.0066458,-0.731372983,2.47E-04
Inha,32.93012307,-0.329112418,0.402950595
Stk11ip,339.6679545,0.453910339,0.024960035
Slc4a3,975.8026566,-0.026031626,0.891498306
Farsb,1644.947677,-0.744875357,3.20E-07
Acsl3,13011.19322,0.29696112,0.036807835
Hdac1l,4.659035704,-0.010940666,0.985818226
Scg2,8181.693669,-1.174607427,1.65E-24
Ap1s3,75.5588595,-1.398190416,1.68E-06
Wdfy1,562.2845198,0.544527306,2.59E-04
Mrpl44,521.0220091,-0.590370887,9.84E-05
Agfg1,2283.461758,-0.574178719,8.52E-06
Cab39,3138.538907,-0.505261178,1.03E-04
Psmd1,6327.06668,-0.606628047,6.51E-07
Nmur1,1.998438096,0.212948562,0.65281425
Cops7b,278.1268127,-0.430085198,0.021247941
Nppc,14.27028584,-1.037833879,0.042649956
Ngef,779.3051049,-0.906913297,3.74E-08
Neu2,11.28017487,-0.168148893,0.738580603
Dnajb3,53.69060048,-0.619962264,0.048840264
Ackr3,117.4560676,0.438152472,0.071209221
Ramp1,101.3149894,1.702617697,3.97E-11
Ilkap,539.924141,-0.362192228,0.018782672
Hes6,42.48759663,1.655111289,3.41E-05
Traf3ip1,235.5748425,-0.290978527,0.132018934
Asb1,604.623286,0.541394953,0.00167859
Ndufa10,1924.486211,-0.540607285,2.16E-05
Olr1353,2.257879075,-0.27414121,0.55557944
Cops9,721.6569961,-0.272424412,0.070378016
Otos,16.7411922,-0.331289791,0.4800581
Ankmy1,68.84152094,0.597990571,0.034118931
Dusp28,8.423207229,0.440613229,0.382446962
Capn10,403.8662237,-0.084912264,0.674056099
Kif1a,13092.0491,0.07211462,0.623853283
Mterf4,336.245691,-0.754775587,7.35E-06
LOC102549694,19.15747942,0.321872032,0.454935796
Hdlbp,5848.586719,-0.630934267,5.41E-08
Stk25,5243.65214,-1.17975684,1.36E-17
Bok,192.7242478,-0.003086128,0.992052666
Thap4,242.8792335,-0.399902077,0.051938307
Atg4b,781.1335211,-0.526606657,3.31E-04
Ing5,96.2484906,-0.325426102,0.222074821
D2hgdh,230.575951,-0.166685686,0.41223829
Fam174a,470.0722587,-1.047537231,4.72E-10
LOC686129,5.495997395,1.128731839,0.029391517
Gin1,248.1248566,-0.563476423,0.002060327
Pja2,19073.57462,-1.268681738,1.94E-29
Vapa,4915.091383,-0.625923647,7.15E-07
LOC100910483,56.18692507,1.024605752,0.001766926
Ndufv2,3831.940602,-0.439252462,3.94E-04
Wash1,164.227263,0.179808984,0.435301933
LOC102553382,119.4448974,0.393031998,0.096308759
LOC102553881,25.58312622,-0.02902936,0.947117405
LOC102552880,36.52023896,-0.671631729,0.055943074
Myl12b,833.8019012,-0.804965815,2.97E-07
Adcyap1,54.11831043,-1.753897167,1.26E-07
Tyms,140.9506733,0.998643223,1.42E-05
LOC102550127,35.61652129,-0.351843793,0.332447031
COX2,348827.3916,0.853232899,0.089055396
ATP8,16818.25658,1.293152864,0.007392151
ATP6,350185.2916,0.841749914,0.099086049
COX3,271604.7143,0.828982778,0.102368165
Shroom4,185.1251277,0.577925669,0.005892642
Zdhhc15,148.6273222,-0.837084098,2.78E-04
Il1rapl2,49.97274747,-1.008394754,0.002508271
LOC100363372,520.0324452,-0.530505743,2.17E-03
LOC100910506,172.6169495,0.557757823,0.01220315
Klf8,75.7216359,-0.538583992,0.053229184
FAM120C,1598.178771,0.016074141,0.924590948
Frmpd4,5816.009443,-0.740536792,1.31E-10
Cnksr2,19984.35671,-0.474083791,1.77E-04
Zmym3,1973.699355,-0.540896171,1.30E-05
Dach2,14.68843662,0.292167819,0.535825456
Zcchc16,204.4827367,-1.002420048,3.92E-07
Dock11,699.497937,0.728454214,4.40E-06
Atp2b3,3404.147786,-1.300881135,1.41E-24
Usp11,3501.266416,-0.853408478,3.31E-13
Rgn,7.421841257,0.587919102,2.47E-01
Jade3,296.8263064,-0.74892978,2.91E-05
Slc9a7,1844.230943,-0.696690076,9.96E-08
RGD1559731,5.716138914,1.111995126,0.032861257
Cask,1674.002677,0.284800045,4.23E-02
Med14,2186.751108,-0.927624134,6.43E-12
Atp6ap2,9249.034959,-1.512370745,4.40E-35
Tbc1d25,157.389845,-0.39720288,0.077253629
Pim2,237.0277758,-0.845633341,1.58E-05
Usp27x,346.0811079,-0.660094207,9.66E-05
Gnl3l,3037.272636,-0.508066706,2.76E-05
Fam104b,382.9174321,0.022288712,0.917314684
Phf8,706.4659233,-0.532275326,2.07E-04
Iqsec2,3167.8989,0.658437081,2.17E-07
Tspyl2,2293.945395,-0.957955239,1.07E-13
Shroom2,1526.272001,-0.133963902,0.349882321
Wwc3,1154.777894,-0.100878536,0.510200456
Clcn4,2847.546772,-0.807388095,1.60E-11
Prps2,230.1938038,-0.367818561,0.067680619
Glra2,378.7439141,-0.41911753,0.025195837
Asb9,8.663127576,-1.308602381,0.012339527
Ctps2,1125.039661,0.096759301,0.555883251
Reps2,1502.345822,-0.637171194,4.09E-07
Rai2,85.210299,0.312710718,0.242734843
Ppef1,24.3529012,-0.196149279,0.647290581
Adgrg2,36.77148038,0.335941399,0.349700107
Map7d2,2712.969084,-1.469075217,3.23E-31
Sms,665.952729,-0.950168167,2.16E-09
Phex,9.217857705,-0.012001576,9.84E-01
Ptchd1,128.5572162,-0.880167362,1.94E-04
Gk,749.4007912,-0.86582236,2.00E-09
Pcyt1b,652.8488037,0.104920136,0.56472889
Apoo,835.3377785,-0.723348346,4.74E-06
Zxdb,377.4078455,0.213827645,0.260263079
Arhgef9,4766.68626,-0.879590717,3.78E-14
Ar,630.6768938,-1.233828639,7.26E-17
Fam155b,101.9461421,0.199773851,4.58E-01
Eda,47.24741869,-0.072677853,0.840656155
Dlg3,3660.611724,-1.327357424,2.26E-28
Taf1,2766.108725,-0.288459647,0.050329203
Ogt,5074.853578,-0.749808961,1.77E-09
Nhsl2,621.5010829,-0.265006055,0.08761828
LOC100911832,321.8448373,-0.458410081,0.007382093
RGD1563270,6.028334594,-1.003550906,0.051660661
Slc16a2,190.9826701,-0.118457733,0.59821749
RGD1561931,3022.100128,-1.10618213,2.27E-18
Abcb7,742.0264777,0.149135361,0.404634595
Magee2,163.8772787,-1.284041167,6.99E-09
LOC103690008,128.6560751,-0.984885705,3.97E-05
Atrx,5646.030973,-0.6653218,2.63E-06
Cox7b,3367.224458,-0.399657848,0.002077648
Tbx22,2.564807708,-0.301084633,0.532833611
RGD1566265,806.9793291,-0.907488896,2.29E-08
Rps6ka6,283.1863647,-0.568901232,0.00267796
LOC100363993,2.253063709,-0.174440143,0.72843335
Pof1b,1.97995162,0.219849325,0.641229161
Pcdh19,1375.00575,-0.840636857,9.48E-11
Tspan6,724.1081045,0.67880068,4.20E-05
Drp2,1473.605588,-0.367056004,0.005864055
Nxf2,5.114871291,-0.423020778,4.10E-01
Bex3,1654.901482,-0.797368174,1.72E-10
LOC680663,31.91504936,0.490567104,0.192115181
Prps1,1544.845888,-0.773620577,7.90E-10
Mid2,511.9369436,0.613863869,1.07E-04
Acsl4,3949.173751,-1.234941511,1.08E-21
Pak3,3552.062524,-0.848132418,6.19E-11
LOC108349244,318.4199764,-0.843717963,1.76E-06
Trpc5,4297.877028,-1.00417561,1.77E-16
Amot,744.4221335,1.513685952,2.69E-23
RGD1561445,153.598876,2.308378738,2.44E-24
Pgrmc1,1476.027417,-1.058209522,1.92E-16
Sept6,1634.621464,-1.366319841,5.36E-25
LOC691215,2.74440605,-0.573337271,0.22989759
Gria3,6899.299475,-1.644662842,3.22E-43
Tenm1,1212.02636,-0.676180464,1.05E-06
LOC103690896,90.16880958,-0.105929026,0.716078383
Enox2,69.43690016,0.204126844,0.492711908
Hs6st2,825.6621557,-1.821070368,1.08E-28
Gpc3,45.04925931,1.552326622,8.27E-06
Fgf13,4648.600548,0.780101874,4.07E-11
