gene,ribo_baseMean,ribo_log2FC,ribo_padj
RGD1560015,33.49533869,-0.033471934,0.930820786
Wtap,421.0854893,-0.128813988,0.427567482
Acat2,211.9989862,0.852163535,2.28E-06
Acat2l1,43.06325251,0.411301991,0.186305527
Tcp1,425.9451181,-0.327254034,0.026736339
Mrpl18,173.3179863,-0.126491302,0.554893371
Mpc1,925.2161738,0.089275524,0.511193202
Fgfr1op,73.96141418,0.098081451,0.742620134
Dact2,122.6921932,-1.010887411,9.23E-06
LOC100125364,138.3909754,-0.565907926,0.00689371
Dll1,147.4549126,-0.736658449,4.64E-04
Fam120b,1135.681775,-0.500158993,2.08E-05
Psmb1,1767.370732,-0.139332845,0.237562851
Tbp,89.16671429,-0.045343512,0.875797471
Pdcd2,142.2250634,-0.249306212,0.243429251
Riok2,233.7884856,0.050925921,0.810884019
Lix1,1376.791801,1.449124769,1.06E-37
LOC102552729,2.20414009,0.186264295,0.707836453
LOC688452,25.93391908,-0.24639554,0.504318504
Ppp2r1a,7227.423199,-0.351185523,3.12E-04
LOC100365363,87.00395341,-0.323824914,0.217571789
LOC102550851,46.06008312,-0.632764849,0.044074747
Znf761,29.9425476,0.026089573,0.949317867
LOC102553001,2.469651833,0.079667388,0.880607253
LOC102555644,23.19680985,-0.518687383,0.182051755
LOC102555377,88.87392279,-0.52381932,0.033489398
Zfp945,104.824319,-0.162593895,0.525163497
Leng1,61.30507728,0.154223244,0.599498358
Cnot3,307.50883,-0.475036235,0.004044477
Prpf31,236.2522535,-0.14312825,0.448135318
Tfpt,104.8671918,-0.213539091,0.372946759
Ndufa3,328.6099855,-0.2575366,0.113749748
Vstm1,2.671758307,-0.432890512,0.363489775
Cacng8,4151.337506,-1.493583059,1.86E-29
Prkcg,9784.224538,-1.672118731,5.15E-37
Myadm,787.1692237,-1.143191014,2.66E-18
Mzf1,92.86741067,-0.116575738,0.663156116
Ube2m,1119.346159,-0.472708083,3.97E-05
Trim28,1444.508613,-0.347929698,0.001881874
Zbtb45,142.1636874,-0.034952818,0.89311391
Slc27a5,2.307823634,0.448629599,0.341460811
Zfp446,71.00795485,0.234146516,0.389437114
Zfp324,67.99916649,-0.625408666,0.02267892
Zfp128,137.0267321,-0.051071923,0.841657228
Zscan18,222.8717149,-0.748267279,5.45E-05
Zfp606,105.1278249,0.849377127,3.54E-04
Zfp551,65.58732117,-0.917980055,0.001920403
LOC691135,7.000758397,-1.02069253,0.057933267
Zfp978,12.16552208,0.497334579,0.26603464
Zfp773-ps1,16.27617515,1.055903942,0.025108338
Zfp772,43.95643293,-0.206908422,0.5203133
Aurkc,5.713335825,-0.432447365,0.385714401
LOC103691033,11.74655648,-0.378355938,0.396806022
Peg3,3580.474719,0.50514708,3.96E-07
LOC102548162,6.973021624,-0.393437906,0.417359091
Zfp583,32.67579711,-0.02090997,0.957301422
Zfp667,82.4629777,-1.215497721,1.53E-05
Zfp444,271.7325844,0.251372539,0.139555003
Rasl2-9,3.490516858,0.706129264,0.160587352
Epn1,2064.756503,0.2824158,0.008221395
U2af2,1393.20319,-0.225053695,0.048514021
Ccdc106,169.4385991,-0.544874669,0.006175437
Zfp580,239.3349796,-0.467254917,0.011539379
Zfp865,29.5190741,0.015890377,0.968344241
LOC100911196,264.5562333,-0.129697345,0.480812689
Fiz1,109.6820363,0.117465513,0.644255861
Zfp579,107.7942983,-0.265341919,0.256094124
Nat14,325.1110314,-1.293727825,1.64E-14
Zfp628,81.60860859,-0.181101906,0.49931023
Shisa7,1607.192979,-1.335149217,4.24E-21
Ube2s,167.0799709,-0.74442623,2.03E-04
Tmem238,72.31964689,0.049509717,0.873621207
Il11,8.394171623,-1.011793144,0.05484197
Kmt5c,11.42572504,-0.175450757,0.701854419
Ppp6r1,619.4424055,0.26515294,0.052105153
Syt5,1509.362169,-1.443031507,2.92E-28
Ppp1r12c,524.5231764,-0.557218319,5.18E-05
Rdh13,75.66989253,-0.265565192,0.331647163
RGD1310257,78.12946197,-0.489226673,0.056290839
Crx,112.8607751,1.062028472,0.050282764
Napa,2857.51013,-0.827604035,1.89E-13
Kptn,74.5033315,0.37695255,0.150910977
Slc8a2,5529.779146,-1.405375018,1.38E-33
Meis3,54.39696439,-0.091488202,0.776805212
Inafm1,50.91204116,-0.17987862,0.561521627
Sae1,627.8183649,-0.162949657,0.243782919
Tmem160,612.6375003,-0.319850888,0.026730396
Ap2s1,1273.597437,-0.587518704,1.99E-07
Fkrp,209.2149133,-0.717584431,5.37E-04
Strn4,2225.346371,-0.731349495,1.95E-11
Dact3,876.5450189,0.821900063,2.35E-11
Calm3,9945.364578,-0.666516798,3.38E-13
Pnmal2,4621.788238,-0.706993003,8.81E-14
Pnmal1,722.6446383,-0.269581177,0.03645807
Ppp5c,1316.98298,-0.627985641,3.30E-08
Nova2,849.8603864,-0.014968292,0.92739265
Mypop,106.567583,-0.080968026,0.756456199
Irf2bp1,490.2950662,-0.251245191,0.080864436
Rsph6a,22.23345906,-0.228089602,0.553800926
Dmwd,714.3420058,-0.354241474,0.005069477
Qpctl,207.0541327,-0.477066077,0.009123556
Snrpd2,112.0946493,-0.288015301,0.217118787
Gipr,9.028312578,0.136087299,0.779249559
Eml2,705.2055767,0.219641457,0.097227034
Rtn2,184.720226,0.468902937,0.012925991
Ercc1,195.5200865,-0.1567036,0.432071225
Ppp1r13l,45.13042882,1.982064994,1.63E-08
Ercc2,163.5721174,0.214262429,0.300493755
Klc3,4.335966494,0.683056447,0.181428647
Exoc3l2,20.08003058,0.95656157,0.028426009
Bloc1s3,156.9214792,-0.460117074,0.029132718
Nkpd1,91.77813056,-1.473205916,5.35E-08
Ppp1r37,668.1494842,0.171452236,0.22047643
Clasrp,123.2032424,-0.425285677,0.053525517
Clptm1,3097.471424,-0.135393277,0.220967662
Apoc4,8.937301477,1.012738269,0.053688803
Tomm40,951.1670619,-0.571117041,3.39E-06
Zfp180,82.17195828,-9.79E-05,0.999739886
Zfp112,26.14469473,-0.527506781,0.163680941
Znf235,21.82277414,-0.365837324,0.33962762
LOC102548503,12.87377453,-0.631877281,0.170628485
Zfp61,83.75343983,-0.536442344,0.03289446
Zfp94,24.41537047,-0.443252785,0.239175984
LOC102548695,30.2674281,0.044767903,0.909095819
Lypd5,3.981025786,1.179919383,0.024272992
Kcnn4,2.97480908,0.667305199,0.178816497
Cadm4,1527.59237,0.942548476,7.06E-19
Zfp428,176.6394185,-0.561456243,0.006281874
Irgq,819.660538,0.183031329,0.162702198
Xrcc1,368.6682002,-0.241428699,0.123569443
Zfp575,29.69042561,-0.393782064,0.278554935
Rabac1,2313.481724,-0.426410007,9.37E-05
Atp1a3,54745.37148,-1.003874423,3.14E-25
Zfp574,331.2149026,0.005223602,0.979240721
Dedd2,114.0490131,-0.407840833,0.069533537
Gsk3a,1312.46791,-0.406473557,3.35E-04
Erf,229.3899699,-0.345538215,0.052416431
Cic,1049.344817,0.481426412,4.60E-05
Pafah1b3,54.61282777,0.017366187,0.959045943
Megf8,1590.413943,-0.128608506,0.308087583
Lipe,104.9593094,1.043422821,3.03E-05
Atp5sl,205.2721838,-0.016655938,0.942399263
B3gnt8,2.718918095,-0.371132241,0.444872786
Exosc5,236.0923118,-0.005600343,0.979542438
Tmem91,52.70415628,0.381607819,0.192558105
B9d2,307.5966963,-0.741447769,4.85E-06
Ccdc97,397.180534,-0.283943424,0.063186368
Egln2,212.6591145,-0.240052643,0.215287096
Rab4b,731.3392113,-0.710207606,3.82E-08
Snrpa,143.664298,-0.128507159,0.573250884
Adck4,231.7713902,-0.190534183,0.309753837
Numbl,854.599524,-0.99563928,3.01E-14
Sptbn4,1078.332012,-1.222143719,9.61E-19
Hipk4,16.96221011,-1.347006807,0.015020779
RGD1307554,229.5479658,-0.700715047,1.07E-04
Ttc9b,411.104927,-0.746600571,1.00E-06
Map3k10,276.7713605,0.877523061,1.59E-05
LOC100910046,51.6901674,-0.188546828,0.536521248
Zfp780b,13.94799239,-0.010794738,0.981402268
LOC102553760,24.64102942,-0.292873222,0.433206892
Wdr87,2.145733142,0.179491203,0.70996037
Zfp780b-ps1,35.00824839,-0.435393174,0.197365521
Zfp59,65.49575008,-0.458827486,0.096306651
Psmc4,826.1458546,-0.322345891,0.008875332
Fcgbp,86.28512306,0.210112372,0.408009495
Fbl,281.4081606,-0.603677988,2.13E-04
Nccrp1,9.200697255,1.421037891,0.009771379
Lrfn1,226.2718978,-0.882046856,1.53E-06
Paf1,559.9054669,-0.275163232,0.049283852
Med29,331.4888749,-0.332286747,0.045276933
Timm50,275.4069781,0.209625045,0.229276425
Eid2b,68.63305489,-0.393353941,0.154068665
Eid2,447.2278995,-1.010499548,1.52E-12
Fbxo27,40.69868658,-0.888137714,0.009480727
Mrps12,129.980725,-0.146212054,0.530707301
Sars2,92.49371086,-0.705138351,0.005436635
Ccer2,3.120029897,0.806354131,0.099009296
Rinl,77.4171855,0.452009792,0.281440114
Hnrnpl,1455.128249,-0.021172086,0.880264766
Lgals4,7.124171117,0.131351873,0.631383191
Lgals7,2.314209909,-0.532472455,0.262070214
Capn12,117.8622518,-1.01602174,0.05911545
Dpf1,431.9957256,-0.686033702,4.54E-06
NEWGENE_1585333,2.869693773,-0.091936806,0.864535304
Zfp27,5.063976572,0.153276545,0.77074573
Fam98c,3.542793678,-0.194218458,0.706852209
Spred3,158.8754007,-0.397883427,0.05911545
Ggn,1854.485227,-0.104055064,0.510491302
Psmd8,627.3870449,-0.193153781,0.16024171
Catsperg1,12.58803972,-0.259823099,0.559518845
Zfp382,88.05974539,-1.018743543,9.81E-05
Nfkbid,2.473123327,-0.177331293,0.721861368
Aplp1,11685.11945,-0.558214498,7.14E-09
Prodh2,4.305846413,-0.816387259,0.110723333
Arhgap33,996.1656824,0.333015018,0.005978749
Hspb6,135.9947281,1.675778667,2.94E-14
Lin37,111.6287218,-0.037081506,0.89080859
Psenen,677.7635419,-0.076072219,0.611583472
U2af1l4,241.4871711,-0.026455539,0.902146637
Kmt2b,239.7627017,-0.086017794,0.668020038
LOC688869,469.5690582,-0.030517034,0.863350761
Rbm42,715.1134617,-0.099987489,0.480113271
Tmem147,400.3994348,0.004978827,0.978855754
Ffar2,4.409475875,-0.432107116,0.387694418
Fxyd7,198.6524505,-1.047100031,1.06E-07
Fxyd3,13.90497437,2.154292987,8.53E-05
Scn1b,1274.020926,-0.184775359,0.118126812
Gramd1a,770.3125555,-0.553298479,1.37E-05
RGD1563307,3.4830443,-0.401627769,0.411682226
LOC100910258,2.524712349,0.055744306,0.918162366
Uba2,64.43763575,-0.228222336,0.423728076
Gpi,6984.319384,-0.013700156,0.911906126
Lrp3,345.8397522,-0.373922357,0.017145777
Gpatch1,96.22197312,-0.068960489,0.801560325
Cep89,78.9683151,0.415773737,0.106042203
Nudt19,122.8977804,-0.218721165,0.34987225
Tshz3,30.70147864,1.036162655,0.007469753
Ccne1,97.15694491,-0.392362099,0.118967232
Pop4,220.2706075,-0.209421219,0.265551437
LOC108348090,3.427536617,-0.305895528,0.532645904
LOC102548231,31.65967565,-0.087034615,0.816157508
LOC100362023,7.798271745,0.017610475,0.973729429
LOC102555672,109.7285423,-0.335687815,0.174118374
Iglon5,109.4071094,0.018174061,0.948855513
Etfb,523.1701394,0.002295175,0.989923185
LOC102556967,100.496428,-0.803468977,9.41E-04
Zfp819,4.403514633,-0.110980698,0.835359846
Ctu1,89.26574456,0.036400262,0.904350917
Klk11,2.913461907,-0.210172287,0.669094611
Klk10,31.0328326,0.062908312,0.873621207
Klk8,198.8937932,-1.583269806,6.60E-13
Klk6,208.8276113,2.213021005,7.86E-21
Clec11a,93.75622364,-0.193529068,0.455322353
Shank1,3684.587373,1.075432523,2.27E-04
RGD1309036,11.69475665,-0.679553528,0.148229691
Lrrc4b,1526.544429,-0.533138861,2.70E-06
Josd2,176.0758312,0.522214414,0.005829439
Fam71e1,30.17816535,0.209854993,0.555749789
Kcnc3,922.7045082,-1.023263804,3.11E-14
Zfp473,5.137862586,0.189498875,0.712616949
Atf5,107.7143135,1.637612632,9.17E-12
Nup62,416.0105783,-0.225845837,0.147695361
Tbc1d17,431.4705719,0.146230705,0.346909009
Akt1s1,167.9576845,0.164026077,0.436439817
Pnkp,77.02405462,0.541723552,0.034891343
Ptov1,2112.939506,-0.092355271,0.442216699
Med25,760.7286004,0.017109098,0.917165887
Fuz,146.1484884,0.248194396,0.247027974
Cpt1c,936.1312494,-0.830275923,2.34E-11
Prmt1,79.44165446,-0.319070853,0.227247726
Scaf1,1487.692104,0.257823729,0.020525197
Prr12,631.2926698,0.089794941,0.552644762
Slc17a7,10645.53699,-1.258508255,7.37E-27
Gfy,14.97000902,0.041627922,0.889515936
Hrc,2.768583127,0.108280864,0.837108057
Ppfia3,1416.959183,-0.814315464,2.00E-12
Lin7b,879.0012536,-1.383846066,1.19E-21
Snrnp70,497.0970203,-0.532287523,1.51E-04
Kcna7,116.5249397,0.531268323,0.277974843
Ruvbl2,287.6190991,-0.340456296,0.038668596
Bax,138.1384459,-0.23870057,0.272310506
Dhdh,27.89796267,0.15176111,0.690857051
Tulp2,2.328953096,0.493164304,0.261295873
Hsd17b14,9.937906683,0.0663264,0.894880238
Rasip1,123.9520751,1.332721486,2.53E-09
Mamstr,40.69285542,2.025319787,3.21E-08
