"","Row.names","ensembl_gene_id","external_gene_name","entrezgene_id","gene_biotype","chromosome_name","start_position","end_position","percentage_gene_gc_content","A8","A11","A12","A14","A15","A16","A17"
"30","ENSMUSG00000000295","ENSMUSG00000000295","Hddc2",69692,"protein_coding","10",31189379,31204200,42.09,56.07,61.29,40.27,131.31,70.88,121.01,63.19
"31","ENSMUSG00000000296","ENSMUSG00000000296","Tpd52l1",21987,"protein_coding","10",31208372,31321954,40.19,135.78,61.36,86.58,34.2,46.39,112.02,96.39
"32","ENSMUSG00000000301","ENSMUSG00000000301","Pemt",18618,"protein_coding","11",59861440,59937315,49.74,0,19.81,8.19,4.84,15.85,0,0.84
"33","ENSMUSG00000000305","ENSMUSG00000000305","Cdh4",12561,"protein_coding","2",179084224,179541166,49.53,12.46,31.35,11.78,27.39,6.16,15.72,12
"34","ENSMUSG00000000308","ENSMUSG00000000308","Ckmt1",12716,"protein_coding","2",121188195,121194218,48.09,89.75,62.09,81.5,94.68,74.39,53.14,69.77
"35","ENSMUSG00000000326","ENSMUSG00000000326","Comt",12846,"protein_coding","16",18225636,18245602,48.68,137.74,138.43,118.78,122.89,93.93,86.61,143.68
"36","ENSMUSG00000000339","ENSMUSG00000000339","Rtca",66368,"protein_coding","3",116282612,116301857,43.09,64.86,90.99,86.06,52.47,71.01,97.73,68.07
"37","ENSMUSG00000000340","ENSMUSG00000000340","Dbt",13171,"protein_coding","3",116306719,116343630,44.05,54.79,24.49,25.55,23.61,22.68,3.46,8.63
"38","ENSMUSG00000000346","ENSMUSG00000000346","Dazap2",23994,"protein_coding","15",100513230,100518642,50.58,498.91,319.4,473,317.65,453.87,403.84,502.29
"39","ENSMUSG00000000355","ENSMUSG00000000355","Mcts1",68995,"protein_coding","X",37689455,37702303,37.89,62.54,99.95,141.93,248.99,125.89,213.99,145.65
"40","ENSMUSG00000000374","ENSMUSG00000000374","Trappc10",216131,"protein_coding","10",78022559,78080475,48.02,7.76,5.87,5.4,6.92,5.11,4.6,12.03
"41","ENSMUSG00000000378","ENSMUSG00000000378","Ccm2",216527,"protein_coding","11",6496887,6546744,47.75,38.79,48.1,46.21,37.41,40.11,41.75,63.77
"42","ENSMUSG00000000399","ENSMUSG00000000399","Ndufa9",66108,"protein_coding","6",126798684,126826099,45.75,319.5,303.56,333.27,298.47,348.44,130.51,242.04
"43","ENSMUSG00000000416","ENSMUSG00000000416","Cttnbp2",30785,"protein_coding","6",18366477,18514842,40.7,22.8,5.76,10.27,5.99,6.68,8.49,8.33
"44","ENSMUSG00000000420","ENSMUSG00000000420","Galnt1",14423,"protein_coding","18",24338401,24419875,40.82,39.49,57.78,36.91,30.42,18.54,33.7,30.8
"45","ENSMUSG00000000439","ENSMUSG00000000439","Mkrn2",67027,"protein_coding","6",115578863,115599585,47.04,13.19,23.94,27.04,19.29,14.35,1.99,9.68
"46","ENSMUSG00000000441","ENSMUSG00000000441","Raf1",110157,"protein_coding","6",115595028,115653596,42.75,28.41,60.83,66.73,33.95,18,31.43,24.08
"47","ENSMUSG00000000489","ENSMUSG00000000489","Pdgfb",18591,"protein_coding","15",79880075,79899178,55.39,25.07,11.5,13.52,20.7,15.21,20,5.65
"48","ENSMUSG00000000531","ENSMUSG00000000531","Tamalin",56149,"protein_coding","15",101122069,101130637,55.63,0,18.57,11.52,20.1,11.37,22.34,16.44
"49","ENSMUSG00000000538","ENSMUSG00000000538","Tom1l2",216810,"protein_coding","11",60117540,60243731,46.54,77.07,49.24,46.69,41.63,41.44,7.43,87.67
"50","ENSMUSG00000000552","ENSMUSG00000000552","Zfp385a",29813,"protein_coding","15",103222322,103248520,50.68,10.8,11.77,13.27,6.51,10.81,7.48,10.63
"51","ENSMUSG00000000555","ENSMUSG00000000555","Itga5",16402,"protein_coding","15",103252713,103275190,50.81,7.17,4.3,4.68,14.55,6.4,0,1.26
"52","ENSMUSG00000000560","ENSMUSG00000000560","Gabra2",14395,"protein_coding","5",71114940,71253192,36.51,25.41,22.73,19.11,22.43,22.92,7.03,12.57
"53","ENSMUSG00000000561","ENSMUSG00000000561","Wdr77",70465,"protein_coding","3",105866685,105877353,44.83,49.68,36.67,35.88,32.18,44.77,47.83,37.3
"54","ENSMUSG00000000563","ENSMUSG00000000563","Atp5pb",11950,"protein_coding","3",105850014,105867415,40.23,367.02,476.9,507.18,527.72,516.1,591.52,491.72
"55","ENSMUSG00000000567","ENSMUSG00000000567","Sox9",20682,"protein_coding","11",112673050,112678586,50.95,239.18,302.8,259.77,243.42,227.49,143.19,187.84
"56","ENSMUSG00000000568","ENSMUSG00000000568","Hnrnpd",11991,"protein_coding","5",100103794,100126797,38.55,114.04,170.56,154.82,198.7,170.79,78.93,126.42
"57","ENSMUSG00000000579","ENSMUSG00000000579","Dynlt1c",100040563,"protein_coding","17",6869070,6877173,47.56,7.36,3.93,13.46,3.47,11.86,9.39,11.97
"58","ENSMUSG00000000581","ENSMUSG00000000581","C1d",57316,"protein_coding","11",17207579,17219176,37.25,28.34,42.26,38.24,51.22,70.89,53.88,62.71
"59","ENSMUSG00000000594","ENSMUSG00000000594","Gm2a",14667,"protein_coding","11",54988941,55003855,48.96,119.91,90.97,98.52,81.65,111.01,110.89,140.31
"60","ENSMUSG00000000600","ENSMUSG00000000600","Krit1",79264,"protein_coding","5",3853184,3895564,36.51,23.42,24.64,26.34,20.74,18.87,16.16,21.58
"61","ENSMUSG00000000605","ENSMUSG00000000605","Clcn4",12727,"protein_coding","7",7285308,7303850,47.23,123.95,99.97,76.24,63.45,67.99,18.49,38.88
"62","ENSMUSG00000000627","ENSMUSG00000000627","Sema4f",20355,"protein_coding","6",82888866,82916750,47.76,10.14,6.78,10.6,26.66,4.75,0.95,4.87
"63","ENSMUSG00000000631","ENSMUSG00000000631","Myo18a",360013,"protein_coding","11",77654072,77756806,51.78,14.97,15.38,15.75,14.55,11.14,10.53,13.41
"64","ENSMUSG00000000632","ENSMUSG00000000632","Sez6",20370,"protein_coding","11",77821626,77869874,51.55,33.52,80.24,78.21,62.98,36.86,40.38,39.25
"65","ENSMUSG00000000693","ENSMUSG00000000693","Loxl3",16950,"protein_coding","6",83011154,83029543,49.9,5.92,4.64,7.66,15.09,5.88,1.8,16.92
"66","ENSMUSG00000000711","ENSMUSG00000000711","Rab5b",19344,"protein_coding","10",128513044,128532133,44.42,66.45,30.88,48.7,43.51,42.77,14.28,37.86
"67","ENSMUSG00000000732","ENSMUSG00000000732","Icosl",50723,"protein_coding","10",77905136,77919747,49.9,14.28,13.75,21.46,6.39,19.95,12.97,16.19
"68","ENSMUSG00000000738","ENSMUSG00000000738","Spg7",234847,"protein_coding","8",123789681,123824499,48.71,36.25,50.15,39.5,18.74,16.51,23.61,46.09
"69","ENSMUSG00000000740","ENSMUSG00000000740","Rpl13",270106,"protein_coding","8",123829089,123831983,54.34,260.63,637.93,457.52,553.66,541.47,936.65,854.65
"70","ENSMUSG00000000743","ENSMUSG00000000743","Chmp1a",234852,"protein_coding","8",123931003,123939502,53.56,137.55,109.77,127.37,147.18,99.91,72.73,126.25
"71","ENSMUSG00000000751","ENSMUSG00000000751","Rpa1",68275,"protein_coding","11",75188992,75239150,44.89,97.07,56.72,69.27,45.24,64.93,39.72,68.04
"72","ENSMUSG00000000753","ENSMUSG00000000753","Serpinf1",20317,"protein_coding","11",75300595,75313527,49.44,43.26,76.62,178.24,66.41,45.46,49.38,19.46
"73","ENSMUSG00000000759","ENSMUSG00000000759","Tubgcp3",259279,"protein_coding","8",12664277,12722248,46.98,19.71,3.37,8.11,14.79,9.21,5.42,8.53
"74","ENSMUSG00000000776","ENSMUSG00000000776","Polr3d",67065,"protein_coding","14",70676197,70680887,51.78,36.26,12.27,19.62,26.8,15.22,5.95,23.61
"75","ENSMUSG00000000782","ENSMUSG00000000782","Tcf7",21414,"protein_coding","11",52143198,52174158,53.06,0.34,2.61,5.97,13.67,3.04,15.89,6.96
"76","ENSMUSG00000000787","ENSMUSG00000000787","Ddx3x",13205,"protein_coding","X",13147209,13160291,39.75,67.16,50.67,60.66,61.77,39.9,38.01,28.34
"77","ENSMUSG00000000804","ENSMUSG00000000804","Usp32",237898,"protein_coding","11",84875268,85030987,39.1,9.98,1.87,9.66,12.15,15.89,8.11,3.69
"78","ENSMUSG00000000811","ENSMUSG00000000811","Txnrd3",232223,"protein_coding","6",89620970,89652511,47.25,12.89,10.25,10.12,2.62,16.03,0,4.09
"79","ENSMUSG00000000823","ENSMUSG00000000823","Zfp512b",269401,"protein_coding","2",181223896,181234596,53.58,14.07,6.31,4.24,5.16,2.96,4.5,3.2
"80","ENSMUSG00000000826","ENSMUSG00000000826","Dnajc5",13002,"protein_coding","2",181162278,181196926,42.98,113.39,104.93,101.49,101.48,72.78,24.82,88.97
"81","ENSMUSG00000000827","ENSMUSG00000000827","Tpd52l2",66314,"protein_coding","2",181138935,181159759,44.51,84.53,85.87,52.35,98.82,60.67,52.18,111.08
"82","ENSMUSG00000000838","ENSMUSG00000000838","Fmr1",14265,"protein_coding","X",67722147,67761569,35.06,27.25,25.37,17.21,21.38,13.99,1.27,23.32
"83","ENSMUSG00000000861","ENSMUSG00000000861","Bcl11a",14025,"protein_coding","11",24028056,24124123,45.53,69.59,28.37,49.78,36.25,56.69,12.49,23.28
"84","ENSMUSG00000000876","ENSMUSG00000000876","Pxmp4",59038,"protein_coding","2",154427678,154445628,47.38,31.68,41.46,33.66,16.02,30.29,9.65,20.58
"85","ENSMUSG00000000881","ENSMUSG00000000881","Dlg3",53310,"protein_coding","X",99811328,99862016,46.89,78.25,40.38,26.88,31.71,31.35,23.28,41.14
"86","ENSMUSG00000000884","ENSMUSG00000000884","Gnb1l",13972,"protein_coding","16",18317463,18385429,47.73,7.22,8.03,0,4.38,2.93,13.24,8.04
"87","ENSMUSG00000000901","ENSMUSG00000000901","Mmp11",17385,"protein_coding","10",75759056,75772330,53.54,0,4.99,0,3.76,2.94,11.92,1.85
"88","ENSMUSG00000000902","ENSMUSG00000000902","Smarcb1",20587,"protein_coding","10",75732603,75757451,48.04,102.52,173.21,159.63,159.72,134.74,145.69,166.16
"89","ENSMUSG00000000915","ENSMUSG00000000915","Hip1r",29816,"protein_coding","5",124111691,124143621,54.59,13.9,7.87,16.63,7.33,8.14,0.66,4.81
"90","ENSMUSG00000000916","ENSMUSG00000000916","Nsun5",100609,"protein_coding","5",135398807,135405659,51.36,5.32,1.94,7.08,24.42,4.69,6.61,13.8
"91","ENSMUSG00000000934","ENSMUSG00000000934","Top1mt",72960,"protein_coding","15",75528884,75550649,52.57,10.46,0,5.07,7.74,4.58,6.59,0.28
"92","ENSMUSG00000000957","ENSMUSG00000000957","Mmp14",17387,"protein_coding","14",54669069,54682821,53.13,22.77,11.85,15.18,37.1,37.32,17.87,15.78
"93","ENSMUSG00000000959","ENSMUSG00000000959","Oxa1l",69089,"protein_coding","14",54598291,54607130,47.94,8.21,47.52,32.91,23.9,24.68,27.61,29.69
"94","ENSMUSG00000000976","ENSMUSG00000000976","Heatr6",217026,"protein_coding","11",83644522,83674580,45.93,7.54,2.13,4.46,7.57,4.08,5.9,3.51
"95","ENSMUSG00000000982","ENSMUSG00000000982","Ccl3",20302,"protein_coding","11",83538670,83540181,46.3,0,16.26,30.42,26.05,28.11,0,1.88
"96","ENSMUSG00000001016","ENSMUSG00000001016","Ilf2",67781,"protein_coding","3",90383433,90395686,42.32,118.52,102.32,77.18,65.15,121.13,48.8,71.2
"97","ENSMUSG00000001017","ENSMUSG00000001017","Chtop",66511,"protein_coding","3",90406263,90416805,42.19,171.81,154.99,180.44,139.42,115.56,48.82,128.86
"98","ENSMUSG00000001018","ENSMUSG00000001018","Snapin",20615,"protein_coding","3",90395333,90398340,45.35,155.83,104.97,125.12,137.76,79.86,115.27,148.55
"99","ENSMUSG00000001020","ENSMUSG00000001020","S100a4",20198,"protein_coding","3",90511078,90513352,48.53,25.28,10.54,133.62,114.21,96.04,180.16,110.63
"100","ENSMUSG00000001021","ENSMUSG00000001021","S100a3",20197,"protein_coding","3",90491966,90510009,49.07,0,0,6.5,49.82,18.07,11.35,11.35
"101","ENSMUSG00000001025","ENSMUSG00000001025","S100a6",20200,"protein_coding","3",90520189,90531488,47.42,183.71,165.02,557,741.47,711.83,727.18,631.23
"102","ENSMUSG00000001034","ENSMUSG00000001034","Mapk7",23939,"protein_coding","11",61379638,61385232,54.78,10.79,19.35,12.92,16.53,15.79,20.83,14.45
"103","ENSMUSG00000001036","ENSMUSG00000001036","Epn2",13855,"protein_coding","11",61408075,61470513,45.69,55.7,26.22,49.73,21.29,42.14,21.64,20.39
"104","ENSMUSG00000001039","ENSMUSG00000001039","B9d1",27078,"protein_coding","11",61395970,61403757,48.78,12,22.4,22.12,95.29,51.17,52.1,101.36
"105","ENSMUSG00000001052","ENSMUSG00000001052","Sec24b",99683,"protein_coding","3",129776408,129855202,44.2,11.41,7.79,4.38,16.23,4.85,5.1,5.93
"106","ENSMUSG00000001054","ENSMUSG00000001054","Rmnd5b",66089,"protein_coding","11",51514498,51526723,50.38,67.86,41.06,38.68,83.57,37.09,22.08,44.08
"107","ENSMUSG00000001056","ENSMUSG00000001056","Nhp2",52530,"protein_coding","11",51510562,51514541,50.38,66.54,69.81,93.78,63.03,51.14,67.99,62.64
"108","ENSMUSG00000001062","ENSMUSG00000001062","Vps9d1",72325,"protein_coding","8",123969095,123981087,54.85,44.15,24.95,15.07,7.46,15.65,10.36,3.49
"109","ENSMUSG00000001082","ENSMUSG00000001082","Mfsd10",68294,"protein_coding","5",34790986,34794556,57.97,26.22,14.25,15.71,5.42,17.4,9.54,15
"110","ENSMUSG00000001089","ENSMUSG00000001089","Luzp1",269593,"protein_coding","4",136197072,136282091,40.42,18.27,15.2,20.13,8.79,10.62,8.94,10.78
"111","ENSMUSG00000001098","ENSMUSG00000001098","Kctd10",330171,"protein_coding","5",114501628,114518569,54.26,20.95,28.44,40.37,19.14,47.96,23.52,75.37
"112","ENSMUSG00000001100","ENSMUSG00000001100","Poldip2",67811,"protein_coding","11",78403019,78413562,48.81,160.09,96.91,110.11,126.95,78.07,35.31,131.13
"113","ENSMUSG00000001105","ENSMUSG00000001105","Ift20",55978,"protein_coding","11",78427187,78432563,47.18,69.39,87.08,104.28,117.61,102.35,129.51,111.81
"114","ENSMUSG00000001119","ENSMUSG00000001119","Col6a1",12833,"protein_coding","10",76544626,76562002,54.16,13.24,4.72,6.73,9.52,6.44,2.69,0.79
"115","ENSMUSG00000001120","ENSMUSG00000001120","Pcbp3",59093,"protein_coding","10",76597691,76797721,45.07,100.13,95.98,104.85,110.08,88.37,63.74,68.92
"116","ENSMUSG00000001123","ENSMUSG00000001123","Lgals9",16859,"protein_coding","11",78853800,78875772,48.47,8.08,33.12,20.39,24.1,26.5,9.27,16.2
"117","ENSMUSG00000001127","ENSMUSG00000001127","Araf",11836,"protein_coding","X",20664053,20726758,42.71,452.03,236.95,314.93,284.91,303.21,242.13,218.16
"118","ENSMUSG00000001131","ENSMUSG00000001131","Timp1",21857,"protein_coding","X",20736405,20740974,46.96,27.78,39.8,92.47,132.15,107,22.95,5.02
"119","ENSMUSG00000001138","ENSMUSG00000001138","Cnnm3",94218,"protein_coding","1",36550948,36567318,52.74,9.03,20.15,10.89,11.38,5.97,6.2,13.61
"120","ENSMUSG00000001143","ENSMUSG00000001143","Lman2l",214895,"protein_coding","1",36458952,36484352,47.29,74.33,61.24,44.79,86.74,33.11,52.22,32.76
"121","ENSMUSG00000001150","ENSMUSG00000001150","Mcm3ap",54387,"protein_coding","10",76304761,76351691,45.98,6.96,12.31,9.11,3.9,10.37,5.41,9.65
"122","ENSMUSG00000001151","ENSMUSG00000001151","Pcnt",18541,"protein_coding","10",76187097,76278620,47.6,2.48,0.37,4.78,1.55,1.16,0.68,1.91
"123","ENSMUSG00000001156","ENSMUSG00000001156","Mxd1",17119,"protein_coding","6",86624024,86646143,48.43,7.65,9.25,2.97,11.64,8.17,9.24,2.89
"124","ENSMUSG00000001157","ENSMUSG00000001157","Gmcl1",23885,"protein_coding","6",86668750,86710365,43.35,41.47,67.72,42.46,14.3,59.43,20.24,9.31
"125","ENSMUSG00000001158","ENSMUSG00000001158","Snrnp27",66618,"protein_coding","6",86652133,86661504,43.33,127.2,87.63,158.28,160.46,123.69,205.74,155.91
"126","ENSMUSG00000001173","ENSMUSG00000001173","Ocrl",320634,"protein_coding","X",47001264,47054745,42,33.9,19.86,9.82,13.12,4.32,3.81,9.75
"127","ENSMUSG00000001175","ENSMUSG00000001175","Calm1",12313,"protein_coding","12",100165694,100176073,47.93,1598.58,1468.17,1387.06,1296.35,1327.3,874.53,1091.51
"128","ENSMUSG00000001211","ENSMUSG00000001211","Agpat3",28169,"protein_coding","10",78105012,78188323,50.47,147.92,158.47,169.31,129.39,80.56,100.84,114.49
"129","ENSMUSG00000001227","ENSMUSG00000001227","Sema6b",20359,"protein_coding","17",56430085,56447343,56.44,40.72,32,28.83,17.28,22.02,7.28,29.22
"130","ENSMUSG00000001228","ENSMUSG00000001228","Uhrf1",18140,"protein_coding","17",56610321,56630486,52.44,3.09,0.52,4.58,4.38,2.06,0,6.68
"131","ENSMUSG00000001229","ENSMUSG00000001229","Dpp9",224897,"protein_coding","17",56493807,56525905,54.17,13.47,24.62,13.86,16.21,16.42,7.28,16.81
"132","ENSMUSG00000001240","ENSMUSG00000001240","Ramp2",54409,"protein_coding","11",101136854,101150372,48.62,31.22,19.54,27.64,25.65,23.56,42.02,46.25
"133","ENSMUSG00000001248","ENSMUSG00000001248","Gramd1a",52857,"protein_coding","7",30829552,30855321,52.22,70.62,38.25,59.4,40.25,41.74,41.29,39.88
"134","ENSMUSG00000001260","ENSMUSG00000001260","Gabrg1",14405,"protein_coding","5",70908390,70999960,35.86,16.7,4.83,8.36,7.14,5.69,0,2.07
"135","ENSMUSG00000001270","ENSMUSG00000001270","Ckb",12709,"protein_coding","12",111635795,111638772,61.92,3480.4,4681.86,4419.22,4344.46,3305.45,6106.31,7278.74
"136","ENSMUSG00000001285","ENSMUSG00000001285","Myg1",60315,"protein_coding","15",102240144,102246574,49.42,25.03,16.87,16.53,16.13,29.65,22.01,47.03
"137","ENSMUSG00000001288","ENSMUSG00000001288","Rarg",19411,"protein_coding","15",102143373,102165952,53.53,0,0.65,1.54,6.25,2.05,0.78,2.61
"138","ENSMUSG00000001289","ENSMUSG00000001289","Pfdn5",56612,"protein_coding","15",102234551,102240308,47.43,130.59,115.11,95.81,115.64,131.35,143.79,118.7
"139","ENSMUSG00000001300","ENSMUSG00000001300","Efnb2",13642,"protein_coding","8",8667434,8711242,45.21,2.26,14.35,17.55,3.49,6.5,0.04,5.57
"140","ENSMUSG00000001305","ENSMUSG00000001305","Rrp15",67223,"protein_coding","1",186453175,186481555,45.2,18.25,32.83,34.06,18.99,29.84,31.59,10.31
"141","ENSMUSG00000001313","ENSMUSG00000001313","Rnd2",11858,"protein_coding","11",101355825,101362679,54.98,88.88,98.33,158.24,120.37,98.26,77.91,139.1
"142","ENSMUSG00000001323","ENSMUSG00000001323","Srr",27364,"protein_coding","11",74797185,74816774,43.41,108.84,58.55,86.14,38.51,80.12,43.33,52.16
"143","ENSMUSG00000001333","ENSMUSG00000001333","Sync",68828,"protein_coding","4",129181410,129202352,47.2,6.35,0,1.45,3.82,2.28,0,3.28
"144","ENSMUSG00000001334","ENSMUSG00000001334","Fndc5",384061,"protein_coding","4",129030477,129038386,54.05,16.41,27.25,19,10.16,10.18,15.21,8.47
"145","ENSMUSG00000001366","ENSMUSG00000001366","Fbxo9",71538,"protein_coding","9",77988781,78016347,44,68.24,83.58,87.87,83.69,72.67,59.84,80.92
"146","ENSMUSG00000001376","ENSMUSG00000001376","Vps50",73288,"protein_coding","6",3498382,3603531,39.55,60.64,44.55,29.99,28.85,25.37,14.09,26.67
"147","ENSMUSG00000001380","ENSMUSG00000001380","Hars1",15115,"protein_coding","18",36899581,36916258,44.1,192.31,125.76,112.53,117.02,136.77,61.67,91.04
"148","ENSMUSG00000001383","ENSMUSG00000001383","Zmat2",66492,"protein_coding","18",36926929,36932719,45.66,140.39,149.71,141.46,101.18,146.04,96.33,94.51
"149","ENSMUSG00000001403","ENSMUSG00000001403","Ube2c",68612,"protein_coding","2",164611818,164620742,50.81,34,15.81,25.57,50.61,38.92,12.84,0.33
"150","ENSMUSG00000001415","ENSMUSG00000001415","Smg5",229512,"protein_coding","3",88243567,88269645,49.12,1.74,5.83,3.42,1.75,5.36,0.28,4.26
"151","ENSMUSG00000001416","ENSMUSG00000001416","Cct3",12462,"protein_coding","3",88204423,88229074,43.27,247.43,201.16,240.39,171.62,245.76,143.17,204.47
"152","ENSMUSG00000001418","ENSMUSG00000001418","Glmp",56700,"protein_coding","3",88232330,88238620,51.68,139.44,110.22,137.95,86.32,92.5,131.96,153.35
"153","ENSMUSG00000001419","ENSMUSG00000001419","Mef2d",17261,"protein_coding","3",88049679,88079393,52.66,80.85,37.06,53.65,43.79,22,14.12,50.81
"154","ENSMUSG00000001424","ENSMUSG00000001424","Snd1",56463,"protein_coding","6",28475138,28935161,43.79,54.66,50.82,73.64,29.17,31.59,16.14,46.59
"155","ENSMUSG00000001435","ENSMUSG00000001435","Col18a1",12822,"protein_coding","10",76888012,77002382,50.81,17.29,4.95,0.73,2.17,10.11,0,10.37
"156","ENSMUSG00000001436","ENSMUSG00000001436","Slc19a1",20509,"protein_coding","10",76868075,76896836,52.38,14.36,19.01,15.46,18.87,12.89,6.3,15.16
"157","ENSMUSG00000001440","ENSMUSG00000001440","Kpnb1",16211,"protein_coding","11",97050540,97078707,44.11,35.86,14.85,21.32,31.86,24.54,9.28,9.71
"158","ENSMUSG00000001441","ENSMUSG00000001441","Npepps",19155,"protein_coding","11",97096668,97171464,41.18,93.26,46.32,72.28,58.25,52.15,14.27,47.37
"159","ENSMUSG00000001445","ENSMUSG00000001445","Mrpl10",107732,"protein_coding","11",96932386,96940039,48.68,107.94,103.9,132.27,117.72,113.15,123.9,94.4
"160","ENSMUSG00000001467","ENSMUSG00000001467","Cyp51",13121,"protein_coding","5",4131145,4154746,42.39,37.3,94.59,89.16,67.61,45.31,57.32,80.1
"161","ENSMUSG00000001472","ENSMUSG00000001472","Tcf25",66855,"protein_coding","8",124100492,124130574,50.22,278.26,263.33,232.98,283.95,215.64,174.73,229.11
"162","ENSMUSG00000001473","ENSMUSG00000001473","Tubb6",67951,"protein_coding","18",67523787,67535819,48.34,18.86,38.74,36.9,22.12,25.44,21.76,11.36
"163","ENSMUSG00000001482","ENSMUSG00000001482","Def8",23854,"protein_coding","8",124150266,124190009,49.55,30.69,35.15,15.76,19.35,23.25,9.2,24.9
